Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,247,CENTRO,57480000,DIESEL S10,6.78,VIBRA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,247,CENTRO,57480000,ETANOL,5.12,VIBRA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,281,CENTRO,57480000,GASOLINA,6.69,BRANCA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,281,CENTRO,57480000,DIESEL,6.78,BRANCA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,281,CENTRO,57480000,DIESEL S10,6.83,BRANCA
NE,AL,DELMIRO GOUVEIA,RUA FLORIANO PEIXOTO,281,CENTRO,57480000,ETANOL,5.12,BRANCA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,GNV,4.16,VIBRA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,GASOLINA,5.17,VIBRA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,GASOLINA ADITIVADA,5.17,VIBRA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,DIESEL,5.19,VIBRA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,DIESEL S10,5.29,VIBRA
NE,BA,ALAGOINHAS,RODOVIA BR 101 KM 1105,SN,ZONA RURAL,48010970,ETANOL,3.53,VIBRA
NE,BA,ALAGOINHAS,RUA DOUTOR JOÃO DANTAS,115,SANTA TEREZINHA,48010530,GASOLINA,5.17,VIBRA
NE,BA,ALAGOINHAS,RUA DOUTOR JOÃO DANTAS,115,SANTA TEREZINHA,48010530,GASOLINA ADITIVADA,5.47,VIBRA
NE,BA,ALAGOINHAS,RUA DOUTOR JOÃO DANTAS,115,SANTA TEREZINHA,48010530,DIESEL S10,5.39,VIBRA
NE,BA,ALAGOINHAS,RUA DOUTOR JOÃO DANTAS,115,SANTA TEREZINHA,48010530,ETANOL,3.69,VIBRA
NE,BA,ALAGOINHAS,RUA PAULO AFONSO,420,PRACA KENNEDY,48020650,GASOLINA,5.19,BRANCA
NE,BA,ALAGOINHAS,RUA PAULO AFONSO,420,PRACA KENNEDY,48020650,GASOLINA ADITIVADA,5.19,BRANCA
NE,BA,ALAGOINHAS,RUA PAULO AFONSO,420,PRACA KENNEDY,48020650,DIESEL,5.68,BRANCA
NE,BA,ALAGOINHAS,RUA PAULO AFONSO,420,PRACA KENNEDY,48020650,DIESEL S10,5.78,BRANCA
NE,BA,ALAGOINHAS,RUA PAULO AFONSO,420,PRACA KENNEDY,48020650,ETANOL,3.98,BRANCA
NE,BA,ALAGOINHAS,RODOVIA MARGEM BR 101,SN,POSTO,48010970,GASOLINA,5.59,VIBRA
NE,BA,ALAGOINHAS,RODOVIA MARGEM BR 101,SN,POSTO,48010970,GASOLINA ADITIVADA,5.59,VIBRA
NE,BA,ALAGOINHAS,RODOVIA MARGEM BR 101,SN,POSTO,48010970,DIESEL,5.19,VIBRA
NE,BA,ALAGOINHAS,RODOVIA MARGEM BR 101,SN,POSTO,48010970,DIESEL S10,5.29,VIBRA
NE,BA,ALAGOINHAS,RODOVIA MARGEM BR 101,SN,POSTO,48010970,ETANOL,3.79,VIBRA
NE,BA,POCOES,RUA TIMOTEO GONCALVES DA COSTA,79,CENTRO,45260000,GASOLINA,5.75,IPIRANGA
NE,BA,POCOES,RUA TIMOTEO GONCALVES DA COSTA,79,CENTRO,45260000,DIESEL,5.35,IPIRANGA
NE,BA,POCOES,RUA TIMOTEO GONCALVES DA COSTA,79,CENTRO,45260000,ETANOL,4.15,IPIRANGA
NE,BA,POCOES,RUA VIRGILIO DAMASIO,1,LAGOA GRANDE,45260000,GASOLINA,5.75,IPIRANGA
NE,BA,POCOES,RUA VIRGILIO DAMASIO,1,LAGOA GRANDE,45260000,DIESEL,5.35,IPIRANGA
NE,BA,POCOES,RUA VIRGILIO DAMASIO,1,LAGOA GRANDE,45260000,DIESEL S10,5.45,IPIRANGA
NE,BA,POCOES,RUA VIRGILIO DAMASIO,1,LAGOA GRANDE,45260000,ETANOL,4.15,IPIRANGA
NE,BA,POCOES,PRACA CORONEL RAIMUNDO PEREIRA DE MAGALHÃES,211,CENTRO,45260000,GASOLINA,5.8,VIBRA
NE,BA,POCOES,PRACA CORONEL RAIMUNDO PEREIRA DE MAGALHÃES,211,CENTRO,45260000,DIESEL,5.4,VIBRA
NE,BA,POCOES,PRACA CORONEL RAIMUNDO PEREIRA DE MAGALHÃES,211,CENTRO,45260000,ETANOL,4.1,VIBRA
NE,BA,VALENCA,AVENIDA ANTONIO CARLOS MAGALHAES,500,SÃO FELIX,45400000,GASOLINA,5.99,BRANCA
NE,BA,VALENCA,AVENIDA ANTONIO CARLOS MAGALHAES,500,SÃO FELIX,45400000,GASOLINA ADITIVADA,5.99,BRANCA
